title,publisher,h_index,thematic_scope,issn,quartile_category,quartile_year,quartile,sjr_year,sjr_score,impact_factor_year,impact_factor_score
Computers and Mathematics with Applications,Elsevier Ltd,154,"Computers & Mathematics with Applications provides a medium of exchange for those engaged in fields contributing to building successful simulations for science and engineering using Partial Differential Equations (PDEs).
The following are the principal areas of interest of the journal:

Modeling using PDEs.
Analysis of mathematical models, formulated in terms of PDEs.
Discretization Methods and Numerical Analysis for PDEs.
Numerical linear and nonlinear algebra. Fast numerical algorithms.
Algorithms and Data Structures. Adaptivity. Computational Geometry.
Software Design, Code verification and Quality Assurance (QA).
Verification and Validation.",0898-1221,Modeling and Simulation,2023,Q1,2023,0.949,2023,3.084
Signal Processing,Elsevier B.V.,161,"Signal Processing incorporates all aspects of the theory and practice of signal processing. It features original research work, tutorial and review articles, and accounts of practical developments. It is intended for a rapid dissemination of knowledge and experience to engineers and scientists working in the research, development or practical application of signal processing.

Subject areas covered by the journal include: Signal Theory; Stochastic Processes; Detection and Estimation; Spectral Analysis; Filtering; Signal Processing Systems; Software Developments; Image Processing; Pattern Recognition; Optical Signal Processing; Digital Signal Processing; Multi-dimensional Signal Processing; Communication Signal Processing; Biomedical Signal Processing; Geophysical and Astrophysical Signal Processing; Earth Resources Signal Processing; Acoustic and Vibration Signal Processing; Data Processing; Remote Sensing; Signal Processing Technology; Radar Signal Processing; Sonar Signal Processing; Industrial Applications; New Applications.",0165-1684,Software,2023,Q1,2023,1.065,2023,4.235
Journal of Applied Mathematics and Computing,,45,"JAMC is a broad based journal covering all branches of computational or applied mathematics with special encouragement to researchers in theoretical computer science and mathematical computing. Major areas, such as numerical analysis, discrete optimization, linear and nonlinear programming, theory of computation, control theory, theory of algorithms, computational logic, applied combinatorics, coding theory, cryptograhics, fuzzy theory with applications, differential equations with applications are all included. A large variety of scientific problems also necessarily involve Algebra, Analysis, Geometry, Probability and Statistics and so on. The journal welcomes research papers in all branches of mathematics which have some bearing on the application to scientific problems, including papers in the areas of Actuarial Science, Mathematical Biology, Mathematical Economics and Finance.",1598-5865,Computational Mathematics,2023,Q2,2023,0.659,2023,2.704
Applied Mathematical Modelling,Elsevier Inc.,140,"Applied Mathematical Modelling focuses on research related to the mathematical modelling of engineering and environmental processes, manufacturing, and industrial systems. A significant emerging area of research activity involves multiphysics processes, and contributions in this area are particularly encouraged.

This influential publication covers a wide spectrum of subjects including heat transfer, fluid mechanics, CFD, and transport phenomena; solid mechanics and mechanics of metals; electromagnets and MHD; reliability modelling and system optimization; finite volume, finite element, and boundary element procedures; modelling of inventory, industrial, manufacturing and logistics systems for viable decision making; civil engineering systems and structures; mineral and energy resources; relevant software engineering issues associated with CAD and CAE; and materials and metallurgical engineering.

Applied Mathematical Modelling is primarily interested in papers developing increased insights into real-world problems through novel mathematical modelling, novel applications or a combination of these. Papers employing existing numerical techniques must demonstrate sufficient novelty in the solution of practical problems. Papers on fuzzy logic in decision-making or purely financial mathematics are normally not considered. Research on fractional differential equations, bifurcation, and numerical methods needs to include practical examples. Population dynamics must solve realistic scenarios. Papers in the area of logistics and business modelling should demonstrate meaningful managerial insight. Submissions with no real-world application will not be considered.",0307-904X,Modeling and Simulation,2023,Q1,2023,1.000,2023,5.175
IET Image Processing,John Wiley & Sons Inc.,59,"The range of topics covered by IET Image Processing includes the following areas related to the generation, processing and communication of visual information: Generation and Display - Imaging sensors and acquisition systems, illumination, sampling and scanning, quantization, colour reproduction, image rendering, display and printing systems, evaluation of image quality. Processing and Analysis - Image enhancement, restoration, segmentation, registration, multispectral, colour and texture processing, multiresolution processing and wavelets, morphological operations, stereoscopic and 3-D processing, motion detection and estimation, video and image sequence processing.",1751-9659,Software,2023,Q2,2023,0.571,2023,2.818
Theoretical Biology and Medical Modelling,BioMed Central Ltd,56,"Theoretical Biology and Medical Modelling is an open access peer-reviewed journal adopting a broad definition of ""biology"" and focusing on theoretical ideas and models associated with developments in biology and medicine. Mathematicians, biologists and clinicians of various specialisms, philosophers and historians of science are all contributing to the emergence of novel concepts in an age of systems biology, bioinformatics and computer modelling. This is the field in which Theoretical Biology and Medical Modelling operates. We welcome submissions that are technically sound and offering either improved understanding in biology and medicine or progress in theory or method.",1742-4682,Modeling and Simulation,2023,Q3,2023,0.303,2023,1.389
"Circuits, Systems, and Signal Processing",Birkhauser Boston,63,"Rapid developments in the analog and digital processing of signals for communication, control, and computer systems have made the theory of electrical circuits and signal processing a burgeoning area of research and design. The aim of Circuits, Systems, and Signal Processing (CSSP) is to help meet the needs of outlets for significant research papers and state-of-the-art review articles in the area.

The scope of the journal is broad, ranging from mathematical foundations to practical engineering design. It encompasses, but is not limited to, such topics as linear and nonlinear networks, distributed circuits and systems, multi-dimensional signals and systems, analog filters and signal processing, digital filters and signal processing, statistical signal processing, multimedia, computer aided design, graph theory, neural systems, communication circuits and systems, and VLSI signal processing.

The Editorial Board is international, and papers are welcome from throughout the world. The journal is devoted primarily to research papers, but survey, expository, and tutorial papers are also published.

Circuits, Systems, and Signal Processing (CSSP) is published twelve times annually.",0278-081X,Signal Processing,2023,Q3,2023,0.509,2023,2.204
Scalable Computing,universitatea de vest,25,"The area of scalable computing has matured and reached a point where new issues and trends require a professional forum. SCPE will provide this avenue by publishing original refereed papers that address the present as well as the future of parallel and distributed computing. The journal will focus on algorithm development, implementation and execution on real-world parallel architectures, and application of parallel and distributed computing to the solution of real-life problems.",1895-1767,Computer Science (miscellaneous),2023,Q3,2023,0.308,2023,1.639
Multimedia Tools and Applications,Springer Netherlands,106,"Multimedia Tools and Applications publishes original research articles on multimedia development and system support tools as well as case studies of multimedia applications. It also features experimental and survey articles. The journal is intended for academics, practitioners, scientists and engineers who are involved in multimedia system research, design and applications. All papers are peer reviewed.
Specific areas of interest include: 

- Multimedia Tools:

- Multimedia Applications:

- Prototype multimedia systems and platforms",1380-7501,Software,2023,Q2,2023,0.801,2023,4.532
Digital Signal Processing: A Review Journal,Elsevier Inc.,90,"Digital Signal Processing: A Review Journal is one of the oldest and most established journals in the field of signal processing yet it aims to be the most innovative. The Journal invites top quality research articles at the frontiers of research in all aspects of signal processing. Our objective is to provide a platform for the publication of ground-breaking research in signal processing with both academic and industrial appeal.

The journal has a special emphasis on statistical signal processing methodology such as Bayesian signal processing, and encourages articles on emerging applications of signal processing such as:

• big data
• machine learning
• internet of things
• information security
• systems biology and computational biology
• financial time series analysis
• autonomous vehicles
• quantum computing
• neuromorphic engineering
• human-computer interaction and intelligent user interfaces
• environmental signal processing
• geophysical signal processing including seismic signal processing
• chemioinformatics and bioinformatics
• audio, visual and performance arts
• disaster management and prevention
• renewable energy.",1051-2004,"Statistics, Probability and Uncertainty",2023,Q2,2023,0.799,2023,3.540
"Annals of the University of Craiova, Mathematics and Computer Science Series","Universitaria Publishing House, University of Craiova",14,The Annals of the University of Craiova - Mathematics and Computer Science Series - publishes original research papers in any branch of Mathematics and Computer Science. Its policy is to feature a wide variety of research areas and it welcomes the submission of papers from all parts of the world. Annals of the University of Craiova - Mathematics and Computer Science Series journal provides an international forum for researchers and professionals to share their work and report new advances on all topics related to mathematics and computer science.,1223-6934,Mathematics (miscellaneous),2023,Q3,2023,0.259,2023,0.438
Lecture Notes in Electrical Engineering,Springer Verlag,45,"The book series Lecture Notes in Electrical Engineering (LNEE) publishes the latest developments in Electrical Engineering - quickly, informally and in high quality. While original research reported in proceedings and monographs has traditionally formed the core of LNEE, we also encourage authors to submit books devoted to supporting student education and professional training in the various fields and applications areas of electrical engineering. The series cover classical and emerging topics concerning:

       -Communication Engineering, Information Theory and Networks-
        Electronics Engineering and Microelectronics-
        Signal, Image and Speech Processing-
        Wireless and Mobile Communication-
        Circuits and Systems-
        Energy Systems, Power Electronics and Electrical Machines-
        Electro-optical Engineering-
        Instrumentation Engineering-
        Avionics Engineering-
        Control Systems-
        Internet-of-Things and Cybersecurity-
        Biomedical Devices, MEMS and NEMS",1876-1100,Industrial and Manufacturing Engineering,2023,Q4,2023,0.147,2023,0.376
IEEE Access,Institute of Electrical and Electronics Engineers Inc.,242,"IEEE Access® is a multidisciplinary, open access (OA), applications-oriented, all-electronic archival journal that continuously presents the results of original research or development across all of IEEE's fields of interest.
IEEE Access will publish articles that are of high interest to readers, original, technically correct, and clearly presented. Supported by author publication charges (APC), its hallmarks are a rapid peer review and publication process with open access to all readers. Unlike IEEE's traditional Transactions or Journals, reviews are ""binary"", in that reviewers will either Accept or Reject an article in the form it is submitted in order to achieve rapid turnaround. Especially encouraged are submissions on:

Multidisciplinary topics, or applications-oriented articles and negative results that do not fit within the scope of IEEE's traditional journals.
Practical articles discussing new experiments or measurement techniques, interesting solutions to engineering.
Development of new or improved fabrication or manufacturing techniques.
Reviews or survey articles of new or evolving fields oriented to assist others in understanding the new area.",2169-3536,Materials Science (miscellaneous),2023,Q1,2023,0.960,2023,4.644
Journal of Engineering Science and Technology,Taylor's University,39,"JESTEC (Journal of Engineering Science and Technology) is a peer-reviewed journal that aims at the publication and dissemination of original research articles on the latest developments in all fields of engineering science and technology. The journal publishes original papers in English, which contribute to the understanding of engineering science and improvement of the engineering technology and education. Papers may be theoretical (including computational), experimental or both. The contribution should be unpublished before and not under consideration for publication elsewhere.",1823-4690,Engineering (miscellaneous),2023,Q3,2023,0.206,2023,1.049
Measurement Science and Technology,IOP Publishing Ltd.,156,"Measurement Science and Technology publishes articles on new measurement techniques and associated instrumentation. Papers that describe experiments must represent an advance in measurement science or measurement technique rather than the application of established experimental technique. Bearing in mind the multidisciplinary nature of the journal, authors must provide an introduction to their work that makes clear the novelty, significance, broader relevance of their work in a measurement context and relevance to the readership of Measurement Science and Technology. All submitted articles should contain consideration of the uncertainty, precision and/or accuracy of the measurements presented.

Subject coverage includes the theory, practice and application of measurement in physics, chemistry, engineering and the environmental and life sciences from inception to commercial exploitation. Publications in the journal should emphasize the novelty of reported methods, characterize them and demonstrate their performance using examples or applications.",0957-0233,Instrumentation,2023,Q2,2023,0.523,2023,2.864
Canadian Journal of Political Science,Cambridge University Press,47,"The Canadian Journal of Political Science/Revue canadienne de science politique (CJPS/RCSP) is the leading political science journal in Canada and publishes cutting-edge research in all areas of the discipline. The Journal is the primary forum for innovative research on all facets of Canadian politics and government as well as the principal outlet for Canadian political science scholarship. It publishes original research articles, research notes, new data sets, commentaries, review articles, replications and book reviews in all areas of political science, including but not limited to: contemporary political theory; federalism and multilevel governance; gender and politics; governmental institutions and processes; the history of political thought; Indigenous-settler relations; international relations and foreign policy; political behaviour; public administration and public policy; race and identity. Submissions are accepted in English and in French.",1744-0084,Sociology and Political Science,2023,Q1,2023,1.186,2023,1.313
Computer Science and Information Systems,ComSIS Consortium,29,"Computer Science and Information Systems (ComSIS) is an international refereed journal, published in Serbia. The objective of ComSIS is to communicate important research and development results in the areas of computer science, software engineering, and information systems.

We publish original papers of lasting value covering both theoretical foundations of computer science and commercial, industrial, or educational aspects that provide new insights into design and implementation of software and information systems. In addition to wide-scope regular issues, ComSIS also includes special issues covering specific topics in all areas of computer science and information systems.

ComSIS publishes invited and regular papers in English. Papers that pass a strict reviewing procedure are accepted for publishing. ComSIS is published semiannually.",1820-0214,Computer Science (miscellaneous),2023,Q3,2023,0.317,2023,1.459
Lecture Notes in Computer Science,Springer Verlag,470,This distinguished conference proceedings series publishes the latest research developments in all areas of computer science.,0302-9743,Theoretical Computer Science,2023,Q2,2023,0.606,2023,1.090
Turkish Journal of Electrical Engineering and Computer Sciences,Turkiye Klinikleri Journal of Medical Sciences,42,"The Turkish Journal of Electrical Engineering & Computer Sciences is published electronically 6 times a year by the Scientific and Technological Research Council of Turkey (TÜBİTAK)
Accepts English-language manuscripts in the areas of power and energy, environmental sustainability and energy efficiency, electronics, industry applications, control systems, information and systems, applied electromagnetics, communications, signal and image processing, tomographic image reconstruction, face recognition, biometrics, speech processing, video processing and analysis, object recognition, classification, feature extraction, parallel and distributed computing, cognitive systems, interaction, robotics, digital libraries and content, personalized healthcare, ICT for mobility, sensors, and artificial intelligence.
Contribution is open to researchers of all nationalities.",1300-0632,Electrical and Electronic Engineering,2023,Q3,2023,0.330,2023,1.616
Optical Memory and Neural Networks (Information Optics),Pleiades Publishing,23,"The journal covers a wide range of issues in information optics such as optical memory, mechanisms for optical data recording and processing, photosensitive materials, optical, optoelectronic and holographic nanostructures, and many other related topics. Papers on memory systems using holographic and biological structures and concepts of brain operation are also included. The journal pays particular attention to research in the field of neural net systems that may lead to a new generation of computional technologies by endowing them with intelligence.",1060-992X,"Electronic, Optical and Magnetic Materials",2023,Q4,2023,0.210,2023,1.178
Fundamenta Informaticae,IOS Press BV,72,"Fundamenta Informaticae is an international journal publishing original research results in all areas of theoretical computer science. Papers are encouraged contributing:

solutions by mathematical methods of problems emerging in computer science
solutions of mathematical problems inspired by computer science.
Topics of interest include (but are not restricted to):

theory of computing,
complexity theory,
algorithms and data structures,
computational aspects of combinatorics and graph theory,
programming language theory,
theoretical aspects of programming languages,
computer-aided verification,
computer science logic,
database theory,
logic programming,
automated deduction,
formal languages and automata theory,
concurrency and distributed computing,
cryptography and security,
theoretical issues in artificial intelligence,
machine learning,
pattern recognition,
algorithmic game theory,
bioinformatics and computational biology,
quantum computing,
probabilistic methods,
algebraic and categorical methods.",0169-2968,Theoretical Computer Science,2023,Q4,2023,0.319,2023,0.628
Journal of Communications Software and Systems,University of Split,19,"The Journal of Communications Software and Systems (JCOMSS) focuses on high-quality, internationally reviewed papers, that advance the state-of-art and applications in communications software engineering and communications systems particularly including new technologies, methods and algorithms, as well as reports on experiments with analysis of performances, and prototypes. The subjects covered by this journal include all aspects in communications software and systems in wired and wireless communications and multimedia technologies that have a significant potential to impact the enormous technical and commercial opportunities in the ICT sector. The journal is particularly interested in research results that add to the scientific understanding of the impacts that communication software engineering can have on systems and services management, quality control and reliability issues. The aim is to give opportunity the reader to benefit from experience, problems and solution described.",1845-6421,Software,2023,Q4,2023,0.223,2023,1.053
Journal of Ambient Intelligence and Humanized Computing,Springer Verlag,72,"The purpose of JAIHC is to provide a high profile, leading edge forum for academics, industrial professionals, educators and policy makers involved in the field to contribute, to disseminate the most innovative researches and developments of all aspects of ambient intelligence and humanized computing, such as intelligent/smart objects, environments/spaces, and systems. The journal discusses various technical, safety, personal, social, physical, political, artistic and economic issues. The research topics covered by the journal are (but not limited to):

-Pervasive/Ubiquitous Computing and Applications
-Cognitive wireless sensor network
-Embedded Systems and Software
-Mobile Computing and Wireless Communications
-Next Generation Multimedia Systems
-Security, Privacy and Trust
-Service and Semantic Computing
-Advanced Networking Architectures
-Dependable, Reliable and Autonomic Computing
-Embedded Smart Agents
-Context awareness, social sensing and inference
-Multi modal interaction design
-Ergonomics and product prototyping
-Intelligent and self-organizing transportation networks & services
-Healthcare Systems
-Virtual Humans & Virtual Worlds
-Wearables sensors and actuators",1868-5137,Computer Science (miscellaneous),2023,Q1,2023,1.038,2023,5.631
Neural Computing and Applications,Springer London,130,"Neural Computing & Applications is an international journal which publishes original research and other information in the field of practical applications of neural computing and related techniques such as genetic algorithms, fuzzy logic and neuro-fuzzy systems.

All items relevant to building practical systems are within its scope, including but not limited to:

-adaptive computing-
algorithms-
applicable neural networks theory-
applied statistics-
architectures-
artificial intelligence-
benchmarks-
case histories of innovative applications-
fuzzy logic-
genetic algorithms-
hardware implementations-
hybrid intelligent systems-
intelligent agents-
intelligent control systems-
intelligent diagnostics-
intelligent forecasting-
machine learning-
neural networks-
neuro-fuzzy systems-
pattern recognition-
performance measures-
self-learning systems-
software simulations-
supervised and unsupervised learning methods-
system engineering and integration.
Featured contributions fall into several categories: Original Articles, Review Articles, Book Reviews and Announcements.",0941-0643,Software,2023,Q1,2023,1.256,2023,6.079
Information Systems,Elsevier Ltd,96,"Information systems are the software and hardware systems that support data-intensive applications. The journal Information Systems publishes articles concerning the design and implementation of languages, data models, process models, algorithms, software and hardware for information systems.

Subject areas include data management issues as presented in the principal international database conferences (e.g., ACM SIGMOD/PODS, VLDB, ICDE and ICDT/EDBT) as well as data-related issues from the fields of data mining/machine learning, information retrieval coordinated with structured data, internet and cloud data management, business process management, web semantics, visual and audio information systems, scientific computing, and data science. Implementation papers having to do with massively parallel data management, fault tolerance in practice, and special purpose hardware for data-intensive systems are also welcome. Manuscripts from application domains, such as urban informatics, social and natural science, and Internet of Things, are also welcome. All papers should highlight innovative solutions to data management problems such as new data models, performance enhancements, and show how those innovations contribute to the goals of the application.",0306-4379,Software,2023,Q1,2023,1.201,2023,4.349
Computing and Informatics,Slovak Academy of Sciences,31,"Main Journal Topics:

COMPUTER ARCHITECTURES AND NETWORKING
PARALLEL AND DISTRIBUTED COMPUTING
THEORETICAL FOUNDATIONS
SOFTWARE ENGINEERING
KNOWLEDGE AND INFORMATION ENGINEERING
 
Apart from the main topics given above, the Editorial Board welcomes papers from other areas of computing and informatics.",1335-9150,Software,2023,Q4,2023,0.258,2023,0.895
Language Resources and Evaluation,Springer Netherlands,61,"Language Resources and Evaluation is the first publication devoted to the acquisition, creation, annotation, and use of language resources, together with methods for evaluation of resources, technologies, and applications.

Language resources include language data and descriptions in machine readable form used to assist and augment language processing applications, such as written or spoken corpora and lexica, multimodal resources, grammars, terminology or domain specific databases and dictionaries, ontologies, multimedia databases, etc., as well as basic software tools for their acquisition, preparation, annotation, management, customization, and use.

Evaluation of language resources concerns assessing the state-of-the-art for a given technology, comparing different approaches to a given problem, assessing the availability of resources and technologies for a given application, benchmarking, and assessing system usability and user satisfaction.",1574-020X,Linguistics and Language,2023,Q1,2023,0.786,2023,3.977
Lecture Notes on Data Engineering and Communications Technologies,Springer International Publishing AG,30,"The aim of the book series is to present cutting edge engineering approaches to data technologies and communications. It will publish latest advances on the engineering task of building and deploying distributed, scalable and reliable data infrastructures and communication systems.
The series will have a prominent applied focus on data technologies and communications with aim to promote the bridging from fundamental research on data science and networking to data engineering and communications that lead to industry products, business knowledge and standardisation.",2367-4512,Media Technology,2023,Q3,2023,0.128,2023,0.557
Applied Physics Letters,American Institute of Physics,478,"Applied Physics Letters (APL) features concise, up-to-date reports on significant new findings in applied physics. Emphasizing rapid dissemination of key data and new physical insights, APL offers prompt publication of new experimental and theoretical papers reporting applications of physics phenomena to all branches of science, engineering, and modern technology.

In addition to regular articles, the journal also publishes invited Fast Track, Perspectives, and in-depth Editorials which report on cutting-edge areas in applied physics.

APL Perspectives are forward-looking invited letters which highlight recent developments or discoveries. Emphasis is placed on very recent developments, potentially disruptive technologies, open questions and possible solutions. They also include a mini-roadmap detailing where the community should direct efforts in order for the phenomena to be viable for application and the challenges associated with meeting that performance threshold. Perspectives are characterized by personal viewpoints and opinions of recognized experts in the field.

Fast Track articles are invited original research articles that report results that are particularly novel and important or provide a significant advancement in an emerging field. Because of the urgency and scientific importance of the work, the peer review process is accelerated. If, during the review process, it becomes apparent that the paper does not meet the Fast Track criterion, it is returned to a normal track.",0003-6951,Physics and Astronomy (miscellaneous),2023,Q1,2023,0.976,2023,3.462
Przeglad Elektrotechniczny,Wydawnictwo SIGMA - N O T Sp. z o.o.,35,"""Przegląd Elektrotechniczny"" exists since 1919 and it is one of the oldest Polish scientific journals. It is dedicated to electrical engineering. The owner of the tittle is SEP (Society of Polish Electrical and Electronics Engineers).
Przeglad Elektrotechniczny is published monthly in average 200 pages per issue (120 - 300 pages). We publish the papers in Polish or English. The Scientific Level of our Journal is controlled by 44-person Program Editorial Board.",0033-2097,Electrical and Electronic Engineering,2023,Q4,2023,0.170,2023,0.535
Journal of Power Electronics,Korean Institute of Power Electronics,41,"The scope of Journal of Power Electronics includes all issues in the field of Power Electronics. Included are techniques for power converters, adjustable speed drives, renewable energy, power quality and utility applications, analysis, modeling and control, power devices and components, power electronics education, and other application.",1598-2092,Electrical and Electronic Engineering,2023,Q3,2023,0.391,2023,1.717
International Journal of Advanced Computer Science and Applications,Science and Information Organization,47,Information not localized,2158-107X,Computer Science (miscellaneous),2023,Q3,2023,0.278,2023,1.374
Optics Letters,Optica Publishing Group,299,"The Optical Society (OSA) publishes high-quality, peer-reviewed articles in its portfolio of journals, which serve the full breadth of the optics and photonics community.

Optics Letters offers rapid dissemination of new results in all areas of optics with short, original, peer-reviewed communications. Optics Letters covers the latest research in optical science, including optical measurements, optical components and devices, atmospheric optics, biomedical optics, Fourier optics, integrated optics, optical processing, optoelectronics, lasers, nonlinear optics, optical storage and holography, optical coherence, polarization, quantum electronics, ultrafast optical phenomena, photonic crystals, and fiber optics. Criteria used in determining acceptability of contributions include newsworthiness to a substantial part of the optics community and the effect of rapid publication on the research of others. This journal, published twice each month, is where readers look for the latest discoveries in optics.",0146-9592,"Atomic and Molecular Physics, and Optics",2023,Q1,2023,1.040,2023,3.266
